摄像头编号  摄像日期    摄像时间    笼号  变化点数    帧数  视频时间长度
ch03 20180120 213225 2-2 73087 33890 1412.083333
ch03 20180120 215557 1-1 934746 33890 1412.083333
ch03 20180120 215557 1-2 37543 33890 1412.083333
ch03 20180120 215557 2-1 93237 33890 1412.083333
ch03 20180120 215557 2-2 53011 33890 1412.083333
ch03 20180120 221929 1-1 47935 33890 1412.083333
ch03 20180120 221929 1-2 32572 33890 1412.083333
ch03 20180120 221929 2-1 81543 33890 1412.083333
ch03 20180120 221929 2-2 70868 33890 1412.083333
ch03 20180120 224301 1-1 49983 33890 1412.083333
ch03 20180120 224301 1-2 43014 33890 1412.083333
ch03 20180120 224301 2-1 66032 33890 1412.083333
ch03 20180120 224301 2-2 57643 33890 1412.083333
ch03 20180120 230633 1-1 43353 33890 1412.083333
ch03 20180120 230633 1-2 42875 33890 1412.083333
ch03 20180120 230633 2-1 92065 33890 1412.083333
ch03 20180120 230633 2-2 76473 33890 1412.083333
ch03 20180120 233005 1-1 48698 33890 1412.083333
ch03 20180120 233005 1-2 45885 33890 1412.083333
ch03 20180120 233005 2-1 86121 33890 1412.083333
ch03 20180120 233005 2-2 65947 33890 1412.083333
ch03 20180120 235337 1-1 33212 9217 384.041667
ch03 20180120 235337 1-2 27534 9217 384.041667
ch03 20180120 235337 2-1 69611 9217 384.041667
ch03 20180120 235337 2-2 62502 9217 384.041667
ch03 20180122 000000 1-1 39724 18290 765.833333
ch03 20180122 000000 2-1 59671 18290 765.833333
ch03 20180122 001242 1-1 46887 33890 1415.833333
ch03 20180122 001242 2-1 78062 33890 1415.833333
ch03 20180122 003614 1-1 43231 33891 1415.875000
ch03 20180122 003614 2-1 76604 33891 1415.875000
ch03 20180122 005946 1-1 945447 33890 1415.833333
ch03 20180122 005946 2-1 945447 33890 1415.833333
ch03 20180122 012318 1-1 137331 33890 1415.875000
ch03 20180122 012318 2-1 209412 33890 1415.875000
ch03 20180122 014650 1-1 128103 33890 1415.833333
ch03 20180122 014650 2-1 219579 33890 1415.833333
ch03 20180122 021022 1-1 146190 33890 1415.833333
ch03 20180122 021022 2-1 170496 33890 1415.833333
ch03 20180122 023354 1-1 122955 33890 1415.833333
ch03 20180122 023354 2-1 246369 33890 1415.833333
ch03 20180122 025726 1-1 143745 33891 1415.875000
ch03 20180122 025726 2-1 222654 33891 1415.875000
ch03 20180122 032058 1-1 43673 33890 1415.833333
ch03 20180122 032058 2-1 74623 33890 1415.833333
ch03 20180122 034430 1-1 49610 33890 1415.833333
ch03 20180122 034430 2-1 76313 33890 1415.833333
ch03 20180122 040802 1-1 57969 33890 1415.833333
ch03 20180122 040802 2-1 73030 33890 1415.833333
ch03 20180122 043134 1-1 52323 33890 1415.833333
ch03 20180122 043134 2-1 60543 33890 1415.833333
ch03 20180122 045506 1-1 52922 33890 1415.833333
ch03 20180122 045506 2-1 74994 33890 1415.833333
ch03 20180122 051838 1-1 155910 33891 1415.875000
ch03 20180122 051838 2-1 232236 33891 1415.875000
ch03 20180122 054210 1-1 172488 33891 1415.875000
ch03 20180122 054210 2-1 239751 33891 1415.875000
ch03 20180122 060542 1-1 149208 33890 1415.833333
ch03 20180122 060542 2-1 225795 33890 1415.833333
ch03 20180122 062914 1-1 227142 33890 1415.833333
ch03 20180122 062914 2-1 215895 33890 1415.833333
ch03 20180122 065246 1-1 191937 33890 1415.833333
ch03 20180122 065246 2-1 228561 33890 1415.833333
ch03 20180122 071618 1-1 177312 33890 1415.833333
ch03 20180122 071618 2-1 291387 33890 1415.833333
ch03 20180122 073950 1-1 190092 33892 1416.125000
ch03 20180122 073950 2-1 283983 33892 1416.125000
ch03 20180122 080322 1-1 179565 33890 1416.125000
ch03 20180122 080322 2-1 220422 33890 1416.125000
ch03 20180122 082655 1-1 187113 33890 1416.125000
ch03 20180122 082655 2-1 188775 33890 1416.125000
ch03 20180122 085026 1-1 139071 33891 1416.125000
ch03 20180122 085026 2-1 198102 33891 1416.125000
ch03 20180122 104806 1-1 83977 33890 1412.083333
ch03 20180122 104806 1-2 86072 33890 1412.083333
ch03 20180122 104806 2-1 75049 33890 1412.083333
ch03 20180122 111137 1-1 76627 33890 1412.083333
ch03 20180122 111137 1-2 96863 33890 1412.083333
ch03 20180122 111137 2-1 60296 33890 1412.083333
ch03 20180122 111137 2-2 94403 33890 1412.083333
ch03 20180122 113509 1-1 66631 33890 1412.083333
ch03 20180122 113509 1-2 79990 33890 1412.083333
ch03 20180122 113509 2-1 70519 33890 1412.083333
ch03 20180122 113509 2-2 84518 33890 1412.083333
ch03 20180122 115842 1-1 84031 33890 1412.083333
ch03 20180122 115842 1-2 82262 33890 1412.083333
ch03 20180122 115842 2-1 73788 33890 1412.083333
ch03 20180122 115842 2-2 104756 33890 1412.083333
ch03 20180122 122213 1-1 74401 33890 1412.083333
ch03 20180122 122213 1-2 87373 33890 1412.083333
ch03 20180122 122213 2-1 72730 33890 1412.083333
ch03 20180122 122213 2-2 95240 33890 1412.083333
ch03 20180122 124545 1-1 86787 33890 1412.083333
ch03 20180122 124545 1-2 80021 33890 1412.083333
ch03 20180122 124545 2-1 68065 33890 1412.083333
ch03 20180122 124545 2-2 97347 33890 1412.083333
ch03 20180122 130918 1-1 56824 33890 1412.083333
ch03 20180122 130918 1-2 76171 33890 1412.083333
ch03 20180122 130918 2-1 98538 33890 1412.083333
ch03 20180122 130918 2-2 102152 33890 1412.083333
ch03 20180122 133249 1-1 58701 33890 1412.083333
ch03 20180122 133249 1-2 71209 33890 1412.083333
ch03 20180122 133249 2-1 75299 33890 1412.083333
ch03 20180122 133249 2-2 95947 33890 1412.083333
ch03 20180122 135621 1-1 62668 33890 1412.083333
ch03 20180122 135621 1-2 69501 33890 1412.083333
ch03 20180122 135621 2-1 75361 33890 1412.083333
ch03 20180122 135621 2-2 100245 33890 1412.083333
ch03 20180122 141953 1-1 55521 33890 1412.083333
ch03 20180122 141953 1-2 66430 33890 1412.083333
ch03 20180122 141953 2-1 71689 33890 1412.083333
ch03 20180122 141953 2-2 96758 33890 1412.083333
ch03 20180122 144326 1-1 65480 33890 1412.083333
ch03 20180122 144326 1-2 84908 33890 1412.083333
ch03 20180122 144326 2-1 85278 33890 1412.083333
ch03 20180122 144326 2-2 107973 33890 1412.083333
ch03 20180122 150657 1-1 0 33890 1412.083333
ch03 20180122 150657 1-2 0 33890 1412.083333
ch03 20180122 150657 2-1 0 33890 1412.083333
ch03 20180122 150657 2-2 0 33890 1412.083333
ch03 20180122 153029 1-1 71183 33890 1412.083333
ch03 20180122 153029 1-2 86039 33890 1412.083333
ch03 20180122 153029 2-1 87649 33890 1412.083333
ch03 20180122 153029 2-2 108698 33890 1412.083333
ch03 20180122 155402 1-1 47345 33890 1412.083333
ch03 20180122 155402 1-2 61629 33890 1412.083333
ch03 20180122 155402 2-1 58915 33890 1412.083333
ch03 20180122 155402 2-2 86102 33890 1412.083333
ch03 20180122 161734 1-1 51198 33890 1412.083333
ch03 20180122 161734 1-2 61007 33890 1412.083333
ch03 20180122 161734 2-1 67519 33890 1412.083333
ch03 20180122 161734 2-2 78654 33890 1412.083333
ch03 20180122 164106 1-1 44612 33890 1412.083333
ch03 20180122 164106 1-2 52500 33890 1412.083333
ch03 20180122 164106 2-1 56392 33890 1412.083333
ch03 20180122 164106 2-2 78312 33890 1412.083333
ch03 20180122 170438 1-1 52172 33890 1412.083333
ch03 20180122 170438 1-2 68481 33890 1412.083333
ch03 20180122 170438 2-1 65861 33890 1412.083333
ch03 20180122 170438 2-2 84886 33890 1412.083333
ch03 20180122 172809 1-1 47226 33890 1412.083333
ch03 20180122 172809 1-2 67447 33890 1412.083333
ch03 20180122 172809 2-1 58642 33890 1412.083333
ch03 20180122 172809 2-2 88306 33890 1412.083333
ch03 20180122 175142 1-1 46903 33890 1412.083333
ch03 20180122 175142 1-2 67147 33890 1412.083333
ch03 20180122 175142 2-1 65112 33890 1412.083333
ch03 20180122 175142 2-2 85731 33890 1412.083333
ch03 20180122 181514 1-1 48401 33890 1412.083333
ch03 20180122 181514 1-2 70007 33890 1412.083333
ch03 20180122 181514 2-1 60072 33890 1412.083333
ch03 20180122 181514 2-2 83807 33890 1412.083333
ch03 20180122 183846 1-1 62540 33890 1412.083333
ch03 20180122 183846 1-2 70377 33890 1412.083333
ch03 20180122 183846 2-1 84610 33890 1412.083333
ch03 20180122 183846 2-2 99750 33890 1412.083333
ch03 20180122 190217 1-1 57988 33890 1412.083333
ch03 20180122 190217 1-2 75133 33890 1412.083333
ch03 20180122 190217 2-1 83312 33890 1412.083333
ch03 20180122 190217 2-2 97106 33890 1412.083333
ch03 20180122 192550 1-1 57741 33890 1412.083333
ch03 20180122 192550 1-2 74044 33890 1412.083333
ch03 20180122 192550 2-1 72656 33890 1412.083333
ch03 20180122 192550 2-2 101561 33890 1412.083333
ch03 20180122 194922 1-1 56172 33890 1412.083333
ch03 20180122 194922 1-2 61534 33890 1412.083333
ch03 20180122 194922 2-1 75456 33890 1412.083333
ch03 20180122 194922 2-2 103234 33890 1412.083333
ch03 20180122 201254 1-1 69778 33890 1412.083333
ch03 20180122 201254 1-2 76558 33890 1412.083333
ch03 20180122 201254 2-1 84869 33890 1412.083333
ch03 20180122 201254 2-2 92070 33890 1412.083333
ch03 20180122 203626 1-1 51672 33890 1412.083333
ch03 20180122 203626 1-2 70293 33890 1412.083333
ch03 20180122 203626 2-1 83202 33890 1412.083333
ch03 20180122 203626 2-2 94741 33890 1412.083333
ch03 20180122 205958 1-1 257025 33890 1412.083333
ch03 20180122 205958 1-2 187353 33890 1412.083333
ch03 20180122 205958 2-1 320184 33890 1412.083333
ch03 20180122 205958 2-2 291627 33890 1412.083333
ch03 20180122 212330 1-1 161988 33890 1412.083333
ch03 20180122 212330 1-2 209475 33890 1412.083333
ch03 20180122 212330 2-1 256200 33890 1412.083333
ch03 20180122 212330 2-2 297099 33890 1412.083333
ch03 20180122 214702 1-1 206280 33890 1412.083333
ch03 20180122 214702 1-2 230823 33890 1412.083333
ch03 20180122 214702 2-1 287235 33890 1412.083333
ch03 20180122 214702 2-2 327132 33890 1412.083333
ch03 20180122 221034 1-1 201849 33890 1412.083333
ch03 20180122 221034 1-2 170616 33890 1412.083333
ch03 20180122 221034 2-1 262881 33890 1412.083333
ch03 20180122 221034 2-2 309558 33890 1412.083333
ch03 20180122 223406 1-1 194259 33890 1412.083333
ch03 20180122 223406 1-2 212937 33890 1412.083333
ch03 20180122 223406 2-1 262890 33890 1412.083333
ch03 20180122 223406 2-2 292959 33890 1412.083333
ch03 20180122 225738 1-1 170604 33890 1412.083333
ch03 20180122 225738 1-2 252477 33890 1412.083333
ch03 20180122 225738 2-1 318471 33890 1412.083333
ch03 20180122 225738 2-2 320784 33890 1412.083333
ch03 20180122 232110 1-1 191307 33890 1412.083333
ch03 20180122 232110 1-2 210651 33890 1412.083333
ch03 20180122 232110 2-1 268248 33890 1412.083333
ch03 20180122 232110 2-2 299058 33890 1412.083333
ch03 20180122 234443 1-1 163575 22033 918.041667
ch03 20180122 234443 1-2 165444 22033 918.041667
ch03 20180122 234443 2-1 319293 22033 918.041667
ch03 20180122 234443 2-2 278631 22033 918.041667
ch03 20180126 230317 1-1 59951 33890 1412.083333
ch03 20180126 230317 1-2 88012 33890 1412.083333
ch03 20180126 230317 2-1 65937 33890 1412.083333
ch03 20180126 230317 2-2 83645 33890 1412.083333
ch03 20180126 232650 1-1 45902 33890 1412.083333
ch03 20180126 232650 1-2 76165 33890 1412.083333
ch03 20180126 232650 2-1 90575 33890 1412.083333
ch03 20180126 232650 2-2 103773 33890 1412.083333
ch03 20180126 235021 1-1 32504 13921 580.041667
ch03 20180126 235021 1-2 32504 13921 580.041667
ch03 20180126 235021 2-1 54272 13921 580.041667
ch03 20180126 235021 2-2 78668 13921 580.041667
ch03 20180127 021133 1-1 58435 33890 1412.083333
ch03 20180127 021133 1-2 86431 33890 1412.083333
ch03 20180127 021133 2-1 83808 33890 1412.083333
ch03 20180127 021133 2-2 119673 33890 1412.083333
ch03 20180127 023506 1-1 53819 33890 1412.083333
ch03 20180127 023506 1-2 93142 33890 1412.083333
ch03 20180127 023506 2-1 75809 33890 1412.083333
ch03 20180127 023506 2-2 118526 33890 1412.083333
ch03 20180127 025838 1-1 62975 33890 1412.083333
ch03 20180127 025838 1-2 79007 33890 1412.083333
ch03 20180127 025838 2-1 77982 33890 1412.083333
ch03 20180127 025838 2-2 115036 33890 1412.083333
ch03 20180127 032210 1-1 82860 33890 1412.083333
ch03 20180127 032210 1-2 98950 33890 1412.083333
ch03 20180127 032210 2-1 86187 33890 1412.083333
ch03 20180127 032210 2-2 122068 33890 1412.083333
ch03 20180127 034542 1-1 71403 33890 1412.083333
ch03 20180127 034542 1-2 90048 33890 1412.083333
ch03 20180127 034542 2-1 87180 33890 1412.083333
ch03 20180127 034542 2-2 115480 33890 1412.083333
ch03 20180127 040914 1-1 62863 33890 1412.083333
ch03 20180127 040914 1-2 69686 33890 1412.083333
ch03 20180127 040914 2-1 80474 33890 1412.083333
ch03 20180127 040914 2-2 105719 33890 1412.083333
ch03 20180127 043246 1-1 67045 33890 1412.083333
ch03 20180127 043246 1-2 82797 33890 1412.083333
ch03 20180127 043246 2-1 83091 33890 1412.083333
ch03 20180127 043246 2-2 129965 33890 1412.083333
ch03 20180127 045618 1-1 71145 33890 1412.083333
ch03 20180127 045618 1-2 70304 33890 1412.083333
ch03 20180127 045618 2-1 85087 33890 1412.083333
ch03 20180127 045618 2-2 109349 33890 1412.083333
ch03 20180127 051950 1-1 61062 33890 1412.083333
ch03 20180127 051950 1-2 83486 33890 1412.083333
ch03 20180127 051950 2-1 70515 33890 1412.083333
ch03 20180127 051950 2-2 119839 33890 1412.083333
ch03 20180127 054322 1-1 67664 33890 1412.083333
ch03 20180127 054322 1-2 73322 33890 1412.083333
ch03 20180127 054322 2-1 75001 33890 1412.083333
ch03 20180127 054322 2-2 129064 33890 1412.083333
ch03 20180127 060654 1-1 75113 33890 1412.083333
ch03 20180127 060654 1-2 87477 33890 1412.083333
ch03 20180127 060654 2-1 100907 33890 1412.083333
ch03 20180127 060654 2-2 124671 33890 1412.083333
ch03 20180127 063026 1-1 97333 33890 1412.083333
ch03 20180127 063026 1-2 97318 33890 1412.083333
ch03 20180127 063026 2-1 103703 33890 1412.083333
ch03 20180127 063026 2-2 161331 33890 1412.083333
ch03 20180127 065358 1-1 79000 33890 1412.083333
ch03 20180127 065358 1-2 92812 33890 1412.083333
ch03 20180127 065358 2-1 106359 33890 1412.083333
ch03 20180127 065358 2-2 143882 33890 1412.083333
ch03 20180127 071730 1-1 83299 33890 1412.083333
ch03 20180127 071730 1-2 98684 33890 1412.083333
ch03 20180127 071730 2-1 122087 33890 1412.083333
ch03 20180127 071730 2-2 156315 33890 1412.083333
ch03 20180127 074102 1-1 79181 33890 1412.083333
ch03 20180127 074102 1-2 119817 33890 1412.083333
ch03 20180127 074102 2-1 112147 33890 1412.083333
ch03 20180127 074102 2-2 152867 33890 1412.083333
ch03 20180127 080434 1-1 51291 33890 1412.083333
ch03 20180127 080434 1-2 82820 33890 1412.083333
ch03 20180127 080434 2-1 70811 33890 1412.083333
ch03 20180127 080434 2-2 114727 33890 1412.083333
ch03 20180127 082807 1-1 76968 33890 1412.083333
ch03 20180127 082807 1-2 120199 33890 1412.083333
ch03 20180127 082807 2-1 112325 33890 1412.083333
ch03 20180127 082807 2-2 126562 33890 1412.083333
ch03 20180127 085138 1-1 77710 33890 1412.083333
ch03 20180127 085138 1-2 111091 33890 1412.083333
ch03 20180127 085138 2-1 99927 33890 1412.083333
ch03 20180127 085138 2-2 151386 33890 1412.083333
ch03 20180127 091511 1-1 68937 33890 1412.083333
ch03 20180127 091511 1-2 78970 33890 1412.083333
ch03 20180127 091511 2-1 97435 33890 1412.083333
ch03 20180127 091511 2-2 91738 33890 1412.083333
ch03 20180129 180732 1-1 92491 33890 1412.083333
ch03 20180129 180732 1-2 107306 33890 1412.083333
ch03 20180129 180732 2-1 99935 33890 1412.083333
ch03 20180129 180732 2-2 143911 33890 1412.083333
ch03 20180129 183104 1-1 101172 33890 1412.083333
ch03 20180129 183104 1-2 131417 33890 1412.083333
ch03 20180129 183104 2-1 124757 33890 1412.083333
ch03 20180129 183104 2-2 169634 33890 1412.083333
ch03 20180129 185436 1-1 93797 33890 1412.083333
ch03 20180129 185436 1-2 141387 33890 1412.083333
ch03 20180129 185436 2-1 109891 33890 1412.083333
ch03 20180129 185436 2-2 169739 33890 1412.083333
ch03 20180129 191809 1-1 96206 33890 1412.083333
ch03 20180129 191809 1-2 154718 33890 1412.083333
ch03 20180129 191809 2-1 111974 33890 1412.083333
ch03 20180129 191809 2-2 147713 33890 1412.083333
ch03 20180129 194141 1-1 101504 33890 1412.083333
ch03 20180129 194141 1-2 137405 33890 1412.083333
ch03 20180129 194141 2-1 117158 33890 1412.083333
ch03 20180129 194141 2-2 174937 33890 1412.083333
ch03 20180129 200513 1-1 102503 33890 1412.083333
ch03 20180129 200513 1-2 152080 33890 1412.083333
ch03 20180129 200513 2-1 125690 33890 1412.083333
ch03 20180129 200513 2-2 198597 33890 1412.083333
ch03 20180129 202845 1-1 104371 33890 1412.083333
ch03 20180129 202845 1-2 140180 33890 1412.083333
ch03 20180129 202845 2-1 121615 33890 1412.083333
ch03 20180129 202845 2-2 176477 33890 1412.083333
ch03 20180129 205217 1-1 50831 33890 1412.083333
ch03 20180129 205217 1-2 61508 33890 1412.083333
ch03 20180129 205217 2-1 86735 33890 1412.083333
ch03 20180129 205217 2-2 105483 33890 1412.083333
ch03 20180129 211549 1-1 47155 33890 1412.083333
ch03 20180129 211549 1-2 57323 33890 1412.083333
ch03 20180129 211549 2-1 85111 33890 1412.083333
ch03 20180129 211549 2-2 109468 33890 1412.083333
ch03 20180129 213921 1-1 47445 33890 1412.083333
ch03 20180129 213921 1-2 57645 33890 1412.083333
ch03 20180129 213921 2-1 105197 33890 1412.083333
ch03 20180129 213921 2-2 42689 15000 625.000000
ch03 20180129 220253 1-1 44481 33890 1412.083333
ch03 20180129 220253 1-2 53173 33890 1412.083333
ch03 20180129 220253 2-1 94593 33890 1412.083333
ch03 20180129 220253 2-2 103144 33890 1412.083333
ch03 20180129 222625 1-1 47347 33890 1412.083333
ch03 20180129 222625 1-2 57803 33890 1412.083333
ch03 20180129 222625 2-1 92144 33890 1412.083333
ch03 20180129 222625 2-2 106588 33890 1412.083333
ch03 20180129 224956 1-1 46382 33890 1412.083333
ch03 20180129 224956 1-2 64617 33890 1412.083333
ch03 20180129 224956 2-1 87809 33890 1412.083333
ch03 20180129 224956 2-2 110752 33890 1412.083333
ch03 20180129 233701 1-1 77130 33121 1380.041667
ch03 20180129 233701 1-2 80995 33121 1380.041667
ch03 20180129 233701 2-1 108892 33121 1380.041667
ch03 20180129 233701 2-2 83140 33121 1380.041667
ch03 20180130 030849 1-1 50780 33890 1412.083333
ch03 20180130 030849 1-2 53712 33890 1412.083333
ch03 20180130 030849 2-1 74242 33890 1412.083333
ch03 20180130 030849 2-2 134177 33890 1412.083333
ch03 20180130 033221 1-1 41014 33890 1412.083333
ch03 20180130 033221 1-2 54304 33890 1412.083333
ch03 20180130 033221 2-1 76521 33890 1412.083333
ch03 20180130 033221 2-2 93054 33890 1412.083333
ch03 20180130 035552 1-1 41519 33890 1419.500000
ch03 20180130 035552 1-2 51450 33890 1419.500000
ch03 20180130 035552 2-1 77162 33890 1419.500000
ch03 20180130 035552 2-2 94220 33890 1419.500000
ch03 20180130 041924 1-1 40502 33890 1412.083333
ch03 20180130 041924 1-2 54712 33890 1412.083333
ch03 20180130 041924 2-1 79647 33890 1412.083333
ch03 20180130 041924 2-2 102142 33890 1412.083333
ch03 20180130 044257 1-1 45085 33890 1412.083333
ch03 20180130 044257 1-2 56247 33890 1412.083333
ch03 20180130 044257 2-1 75041 33890 1412.083333
ch03 20180130 044257 2-2 96498 33890 1412.083333
ch03 20180130 050629 1-1 44983 33890 1412.083333
ch03 20180130 050629 1-2 53883 33890 1412.083333
ch03 20180130 050629 2-1 81418 33890 1412.083333
ch03 20180130 050629 2-2 105775 33890 1412.083333
ch03 20180130 053001 1-1 40047 33890 1412.083333
ch03 20180130 053001 1-2 51390 33890 1412.083333
ch03 20180130 053001 2-1 71695 33890 1412.083333
ch03 20180130 053001 2-2 90901 33890 1412.083333
ch03 20180130 055333 1-1 91299 33890 1412.083333
ch03 20180130 055333 1-2 65913 33890 1412.083333
ch03 20180130 055333 2-1 76521 33890 1412.083333
ch03 20180130 055333 2-2 92177 33890 1412.083333
ch03 20180130 061705 1-1 41112 33890 1412.083333
ch03 20180130 061705 1-2 51904 33890 1412.083333
ch03 20180130 061705 2-1 71756 33890 1412.083333
ch03 20180130 061705 2-2 88984 33890 1412.083333
ch03 20180130 064037 1-1 43893 33890 1412.083333
ch03 20180130 064037 1-2 54083 33890 1412.083333
ch03 20180130 064037 2-1 74517 33890 1412.083333
ch03 20180130 064037 2-2 104689 33890 1412.083333
ch03 20180130 070409 1-1 43587 33890 1412.083333
ch03 20180130 070409 1-2 54664 33890 1412.083333
ch03 20180130 070409 2-1 86799 33890 1412.083333
ch03 20180130 070409 2-2 98058 33890 1412.083333
ch03 20180130 072741 1-1 994450 33890 1412.083333
ch03 20180130 072741 1-2 50749 33890 1412.083333
ch03 20180130 072741 2-1 69377 33890 1412.083333
ch03 20180130 072741 2-2 95616 33890 1412.083333
ch03 20180130 075113 1-1 39760 33890 1412.083333
ch03 20180130 075113 1-2 44226 33890 1412.083333
ch03 20180130 075113 2-1 62264 33890 1412.083333
ch03 20180130 075113 2-2 83394 33890 1412.083333
ch03 20180130 081445 1-1 50167 33890 1412.083333
ch03 20180130 081445 1-2 56320 33890 1412.083333
ch03 20180130 081445 2-1 95678 33890 1412.083333
ch03 20180130 081445 2-2 94755 33890 1412.083333
ch03 20180130 083817 1-1 36300 33890 1412.083333
ch03 20180130 083817 1-2 47590 33890 1412.083333
ch03 20180130 083817 2-1 34092 33890 1412.083333
ch03 20180130 083817 2-2 59640 33890 1412.083333
ch03 20180130 090149 1-1 34786 33890 1412.083333
ch03 20180130 090149 1-2 72391 33890 1412.083333
ch03 20180130 090149 2-1 50640 33890 1412.083333
ch03 20180130 090149 2-2 76944 33890 1412.083333
ch03 20180130 092521 1-1 1550 33890 1412.083333
ch03 20180130 092521 1-2 3684 33890 1412.083333
ch03 20180130 092521 2-1 1388 33890 1412.083333
ch03 20180130 092521 2-2 3841 33890 1412.083333
ch03 20180130 094853 1-1 32195 33890 1412.083333
ch03 20180130 094853 1-2 47762 33890 1412.083333
ch03 20180130 094853 2-1 59369 33890 1412.083333
ch03 20180130 094853 2-2 69637 33890 1412.083333
ch03 20180130 101226 1-1 48564 33890 1412.083333
ch03 20180130 101226 1-2 62551 33890 1412.083333
ch03 20180130 101226 2-1 78040 33890 1412.083333
ch03 20180130 101226 2-2 94658 33890 1412.083333
ch03 20180130 103557 1-1 42611 33890 1412.083333
ch03 20180130 103557 1-2 51496 33890 1412.083333
ch03 20180130 103557 2-1 73857 33890 1412.083333
ch03 20180130 103557 2-2 71909 33890 1412.083333
ch03 20180130 105929 1-1 37605 33890 1412.083333
ch03 20180130 105929 1-2 54815 33890 1412.083333
ch03 20180130 105929 2-1 66427 33890 1412.083333
ch03 20180130 105929 2-2 79290 33890 1412.083333
ch03 20180130 112301 1-1 39594 33890 1412.083333
ch03 20180130 112301 1-2 65938 33890 1412.083333
ch03 20180130 112301 2-1 65740 33890 1412.083333
ch03 20180130 112301 2-2 74738 33890 1412.083333
ch03 20180130 114633 1-1 41962 33890 1412.083333
ch03 20180130 114633 1-2 61798 33890 1412.083333
ch03 20180130 114633 2-1 60260 33890 1412.083333
ch03 20180130 114633 2-2 110961 33890 1412.083333
ch03 20180130 121005 1-1 43627 33890 1419.500000
ch03 20180130 121005 1-2 51566 33890 1419.500000
ch03 20180130 121005 2-1 69147 33890 1419.500000
ch03 20180130 121005 2-2 61135 33890 1419.500000
ch03 20180130 123337 1-1 57625 33890 1419.500000
ch03 20180130 123337 1-2 65073 33890 1419.500000
ch03 20180130 123337 2-1 73374 33890 1419.500000
ch03 20180130 123337 2-2 101934 33890 1419.500000
ch03 20180130 125710 1-1 59936 33890 1419.500000
ch03 20180130 125710 1-2 84716 33890 1419.500000
ch03 20180130 125710 2-1 96484 33890 1419.500000
ch03 20180130 125710 2-2 126684 33890 1419.500000
ch03 20180130 132041 1-1 55968 33890 1419.458333
ch03 20180130 132041 1-2 84132 33890 1419.458333
ch03 20180130 132041 2-1 71304 33890 1419.458333
ch03 20180130 132041 2-2 108315 33890 1419.458333
ch03 20180130 134413 1-1 47640 33890 1412.083333
ch03 20180130 134413 1-2 66318 33890 1412.083333
ch03 20180130 134413 2-1 75127 33890 1412.083333
ch03 20180130 134413 2-2 111684 33890 1412.083333
ch03 20180130 140746 1-1 36678 33890 1412.083333
ch03 20180130 140746 1-2 51308 33890 1412.083333
ch03 20180130 140746 2-1 51016 33890 1412.083333
ch03 20180130 140746 2-2 73600 33890 1412.083333
ch03 20180130 143117 1-1 36519 33890 1412.083333
ch03 20180130 143117 1-2 43974 33890 1412.083333
ch03 20180130 143117 2-1 70528 33890 1412.083333
ch03 20180130 143117 2-2 74282 33890 1412.083333
ch03 20180130 145449 1-1 28809 33890 1412.083333
ch03 20180130 145449 1-2 37662 33890 1412.083333
ch03 20180130 145449 2-1 40262 33890 1412.083333
ch03 20180130 145449 2-2 53744 33890 1412.083333
ch03 20180130 151821 1-1 50634 33890 1412.083333
ch03 20180130 151821 1-2 57229 33890 1412.083333
ch03 20180130 151821 2-1 930831 33890 1412.083333
ch03 20180130 151821 2-2 93290 33890 1412.083333
ch03 20180130 154153 1-1 45015 33890 1412.083333
ch03 20180130 154153 1-2 60816 33890 1412.083333
ch03 20180130 154153 2-1 65525 33890 1412.083333
ch03 20180130 154153 2-2 96271 33890 1412.083333
ch03 20180130 160526 1-1 47907 33890 1412.083333
ch03 20180130 160526 1-2 69966 33890 1412.083333
ch03 20180130 160526 2-1 72455 33890 1412.083333
ch03 20180130 160526 2-2 111097 33890 1412.083333
ch03 20180130 162857 1-1 39988 33890 1412.083333
ch03 20180130 162857 1-2 64642 33890 1412.083333
ch03 20180130 162857 2-1 65782 33890 1412.083333
ch03 20180130 162857 2-2 91098 33890 1412.083333
ch03 20180130 165229 1-1 64205 33890 1412.083333
ch03 20180130 173933 1-1 47850 33890 1412.083333
ch03 20180130 173933 1-2 76541 33890 1412.083333
ch03 20180130 173933 2-1 72114 33890 1412.083333
ch03 20180130 173933 2-2 103193 33890 1412.083333
ch03 20180130 180305 1-1 43032 33890 1412.083333
ch03 20180130 180305 1-2 72591 33890 1412.083333
ch03 20180130 180305 2-1 61004 33890 1412.083333
ch03 20180130 180305 2-2 85699 33890 1412.083333
ch03 20180130 182638 1-1 47892 33890 1412.083333
ch03 20180130 182638 1-2 82489 33890 1412.083333
ch03 20180130 182638 2-1 62321 33890 1412.083333
ch03 20180130 182638 2-2 83251 33890 1412.083333
ch03 20180130 185010 1-1 49445 33890 1412.083333
ch03 20180130 185010 1-2 82823 33890 1412.083333
ch03 20180130 185010 2-1 77016 33890 1412.083333
ch03 20180130 185010 2-2 112135 33890 1412.083333
ch03 20180130 191342 1-1 48369 33890 1419.708333
ch03 20180130 191342 1-2 76520 33890 1419.708333
ch03 20180130 191342 2-1 75077 33890 1419.708333
ch03 20180130 191342 2-2 110563 33890 1419.708333
ch03 20180130 193714 1-1 42126 33890 1419.750000
ch03 20180130 193714 1-2 83120 33890 1419.750000
ch03 20180130 193714 2-1 90985 33890 1419.750000
ch03 20180130 193714 2-2 121137 33890 1419.750000
